ID,LamaPengalamanKerja-Tahun,Gaji
0,1.2000000000000002,3275388.0
1,1.4,3846649.5
2,1.6,3141189.0
3,2.1,3623539.5
4,2.3000000000000003,3321009.0
5,3.0,4715529.75
6,3.1,5007570.75
7,3.3000000000000003,4532629.5
8,3.3000000000000003,5365129.5
9,3.8,4761067.5
10,4.0,5262981.75
11,4.1,4644933.75
12,4.1,4741753.5
13,4.199999999999999,4752076.5
14,4.6,5087574.0
15,5.0,5655921.75
16,5.199999999999999,5496997.5
17,5.4,6917159.25
18,6.0,6773553.0
19,6.1,7820588.25
20,6.9,7637271.75
21,7.199999999999999,8181310.5
22,8.0,8433474.75
23,8.299999999999999,9474932.25
24,8.799999999999999,9110214.0
25,9.1,8789784.75
26,9.6,9737752.5
27,9.7,9376947.0
28,10.4,10189134.0
29,10.6,10145927.25
